position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
RF,L,A.J. Ewing,J. Misiorowski,R,1,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
LF,L,Juan Soto,J. Misiorowski,R,2,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
3B,R,Bo Bichette,J. Misiorowski,R,3,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
SS,S,F. Lindor,J. Misiorowski,R,4,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
DH,S,J. Polanco,J. Misiorowski,R,5,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
1B,L,Jared Young,J. Misiorowski,R,6,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
CF,R,Luis Robert,J. Misiorowski,R,7,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
2B,L,Brett Baty,J. Misiorowski,R,8,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
C,R,F. Alvarez,J. Misiorowski,R,9,NYM,MIL,away,3.0,2026-07-20 16:23:26.505348
DH,L,C. Yelich,Freddy Peralta,R,1,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
LF,R,J. Chourio,Freddy Peralta,R,2,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
2B,L,Brice Turang,Freddy Peralta,R,3,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
C,R,W. Contreras,Freddy Peralta,R,4,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
1B,L,Jake Bauers,Freddy Peralta,R,5,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
CF,L,G. Mitchell,Freddy Peralta,R,6,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
RF,S,Luis Lara,Freddy Peralta,R,7,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
SS,R,Cooper Pratt,Freddy Peralta,R,8,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
3B,R,Joey Ortiz,Freddy Peralta,R,9,NYM,MIL,home,3.0,2026-07-20 16:23:26.505348
LF,R,A. Martin,Parker Messick,L,1,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
CF,R,Byron Buxton,Parker Messick,L,2,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
C,R,Ryan Jeffers,Parker Messick,L,3,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
DH,S,Josh Bell,Parker Messick,L,4,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
2B,R,Royce Lewis,Parker Messick,L,5,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
1B,S,V. Caratini,Parker Messick,L,6,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
RF,R,L. Keaschall,Parker Messick,L,7,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
3B,S,Brooks Lee,Parker Messick,L,8,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
SS,R,R. Kreidler,Parker Messick,L,9,MIN,CLE,away,2.0,2026-07-21 16:19:18.437381
LF,L,Steven Kwan,Jack Anderson,R,1,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
SS,S,B. Rocchio,Jack Anderson,R,2,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
DH,L,C. DeLauter,Jack Anderson,R,3,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
1B,R,Rhys Hoskins,Jack Anderson,R,4,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
RF,R,David Fry,Jack Anderson,R,5,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
2B,L,T. Bazzana,Jack Anderson,R,6,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
3B,R,G. Arias,Jack Anderson,R,7,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
C,R,A. Hedges,Jack Anderson,R,8,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
CF,L,Petey Halpin,Jack Anderson,R,9,MIN,CLE,home,2.0,2026-07-21 16:19:18.437381
DH,L,S. Ohtani,Zack Wheeler,R,1,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
CF,R,Andy Pages,Zack Wheeler,R,2,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
1B,L,F. Freeman,Zack Wheeler,R,3,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
3B,L,Max Muncy,Zack Wheeler,R,4,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
SS,R,Mookie Betts,Zack Wheeler,R,5,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
RF,L,Kyle Tucker,Zack Wheeler,R,6,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
2B,S,Tommy Edman,Zack Wheeler,R,7,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
LF,R,Alex Call,Zack Wheeler,R,8,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
C,S,E. Alfonzo,Zack Wheeler,R,9,LAD,PHI,away,2.0,2026-07-21 16:19:18.437381
SS,R,Trea Turner,Justin Wrobleski,L,1,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
DH,L,K. Schwarber,Justin Wrobleski,L,2,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
1B,L,Bryce Harper,Justin Wrobleski,L,3,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
3B,R,Alec Bohm,Justin Wrobleski,L,4,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
LF,R,Edmundo Sosa,Justin Wrobleski,L,5,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
C,R,J. Realmuto,Justin Wrobleski,L,6,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
RF,L,B. Marsh,Justin Wrobleski,L,7,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
CF,R,Derek Hill,Justin Wrobleski,L,8,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
2B,L,Bryson Stott,Justin Wrobleski,L,9,LAD,PHI,home,2.0,2026-07-21 16:19:18.437381
DH,R,Yandy Diaz,Kevin Gausman,R,1,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
1B,L,J. Aranda,Kevin Gausman,R,2,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
3B,R,J. Caminero,Kevin Gausman,R,3,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
CF,L,C. Mullins,Kevin Gausman,R,4,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
LF,L,C. Simpson,Kevin Gausman,R,5,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
RF,L,Victor Mesa,Kevin Gausman,R,6,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
2B,L,R. Palacios,Kevin Gausman,R,7,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
SS,S,Taylor Walls,Kevin Gausman,R,8,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
C,L,H. Feduccia,Kevin Gausman,R,9,TB,TOR,away,3.0,2026-07-21 16:19:18.437381
RF,L,Nathan Lukes,Drew Rasmussen,R,1,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
1B,R,V. Guerrero,Drew Rasmussen,R,2,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
2B,R,E. Clement,Drew Rasmussen,R,3,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
DH,R,G. Springer,Drew Rasmussen,R,4,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
CF,L,D. Varsho,Drew Rasmussen,R,5,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
3B,R,K. Okamoto,Drew Rasmussen,R,6,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
C,S,B. Valenzuela,Drew Rasmussen,R,7,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
SS,L,A. Gimenez,Drew Rasmussen,R,8,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
LF,S,J. Clase,Drew Rasmussen,R,9,TB,TOR,home,3.0,2026-07-21 16:19:18.437381
LF,R,Taylor Ward,Eduardo Rivera,L,1,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
1B,R,Pete Alonso,Eduardo Rivera,L,2,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
SS,L,G. Henderson,Eduardo Rivera,L,3,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
RF,R,T. O'Neill,Eduardo Rivera,L,4,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
DH,R,Coby Mayo,Eduardo Rivera,L,5,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
CF,S,L. Taveras,Eduardo Rivera,L,6,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
3B,R,C. Encarnacion-Strand,Eduardo Rivera,L,7,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
2B,L,J. Holliday,Eduardo Rivera,L,8,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
C,R,C. Tromp,Eduardo Rivera,L,9,BAL,BOS,away,3.0,2026-07-21 16:19:18.437381
2B,L,A. Seigler,Kyle Bradish,R,1,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
CF,R,C. Rafaela,Kyle Bradish,R,2,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
RF,L,Wilyer Abreu,Kyle Bradish,R,3,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
1B,R,W. Contreras,Kyle Bradish,R,4,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
DH,L,M. Yoshida,Kyle Bradish,R,5,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
3B,R,Caleb Durbin,Kyle Bradish,R,6,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
LF,L,Jarren Duran,Kyle Bradish,R,7,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
SS,R,A. Monasterio,Kyle Bradish,R,8,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
C,R,C. Narvaez,Kyle Bradish,R,9,BAL,BOS,home,3.0,2026-07-21 16:19:18.437381
RF,R,F. Tatis,Reynaldo Lopez,R,1,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
2B,L,J. Cronenworth,Reynaldo Lopez,R,2,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
3B,R,M. Machado,Reynaldo Lopez,R,3,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
1B,R,Ty France,Reynaldo Lopez,R,4,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
CF,L,J. Merrill,Reynaldo Lopez,R,5,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
C,R,L. Campusano,Reynaldo Lopez,R,6,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
LF,L,Gavin Sheets,Reynaldo Lopez,R,7,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
SS,R,X. Bogaerts,Reynaldo Lopez,R,8,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
DH,S,Luis Rengifo,Reynaldo Lopez,R,9,SD,ATL,away,3.0,2026-07-21 16:19:18.437381
C,L,D. Baldwin,Walker Buehler,R,1,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
2B,S,Ozzie Albies,Walker Buehler,R,2,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
1B,L,Matt Olson,Walker Buehler,R,3,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
3B,R,Austin Riley,Walker Buehler,R,4,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
CF,L,M. Harris,Walker Buehler,R,5,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
LF,R,M. Dubon,Walker Buehler,R,6,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
DH,L,M. Yastrzemski,Walker Buehler,R,7,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
RF,R,B. Hicklen,Walker Buehler,R,8,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
SS,L,Jim Jarvis,Walker Buehler,R,9,SD,ATL,home,3.0,2026-07-21 16:19:18.437381
LF,R,Heliot Ramos,Luinder Avila,R,1,SF,KC,away,3.0,2026-07-21 16:19:18.437381
DH,L,B. Eldridge,Luinder Avila,R,2,SF,KC,away,3.0,2026-07-21 16:19:18.437381
3B,R,C. Schmitt,Luinder Avila,R,3,SF,KC,away,3.0,2026-07-21 16:19:18.437381
1B,L,R. Devers,Luinder Avila,R,4,SF,KC,away,3.0,2026-07-21 16:19:18.437381
SS,R,Willy Adames,Luinder Avila,R,5,SF,KC,away,3.0,2026-07-21 16:19:18.437381
RF,L,Jung Hoo Lee,Luinder Avila,R,6,SF,KC,away,3.0,2026-07-21 16:19:18.437381
C,R,J. Rodriguez,Luinder Avila,R,7,SF,KC,away,3.0,2026-07-21 16:19:18.437381
CF,L,Drew Gilbert,Luinder Avila,R,8,SF,KC,away,3.0,2026-07-21 16:19:18.437381
2B,R,C. Koss,Luinder Avila,R,9,SF,KC,away,3.0,2026-07-21 16:19:18.437381
C,L,C. Jensen,Tyler Mahle,R,1,SF,KC,home,3.0,2026-07-21 16:19:18.437381
CF,R,Lane Thomas,Tyler Mahle,R,2,SF,KC,home,3.0,2026-07-21 16:19:18.437381
RF,L,J. Caglianone,Tyler Mahle,R,3,SF,KC,home,3.0,2026-07-21 16:19:18.437381
DH,R,S. Perez,Tyler Mahle,R,4,SF,KC,home,3.0,2026-07-21 16:19:18.437381
1B,L,V. Pasquantino,Tyler Mahle,R,5,SF,KC,home,3.0,2026-07-21 16:19:18.437381
LF,R,S. Marte,Tyler Mahle,R,6,SF,KC,home,3.0,2026-07-21 16:19:18.437381
2B,L,M. Massey,Tyler Mahle,R,7,SF,KC,home,3.0,2026-07-21 16:19:18.437381
3B,R,Nick Loftin,Tyler Mahle,R,8,SF,KC,home,3.0,2026-07-21 16:19:18.437381
SS,R,T. Tolbert,Tyler Mahle,R,9,SF,KC,home,3.0,2026-07-21 16:19:18.437381
LF,L,A.J. Ewing,Brandon Sproat,R,1,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
DH,L,Juan Soto,Brandon Sproat,R,2,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
3B,R,Bo Bichette,Brandon Sproat,R,3,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
SS,S,F. Lindor,Brandon Sproat,R,4,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
RF,L,Carson Benge,Brandon Sproat,R,5,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
CF,R,Luis Robert,Brandon Sproat,R,6,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
1B,L,Jared Young,Brandon Sproat,R,7,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
2B,R,M. Semien,Brandon Sproat,R,8,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
C,R,F. Alvarez,Brandon Sproat,R,9,NYM,MIL,away,3.0,2026-07-21 16:19:18.437381
LF,R,J. Chourio,Zac Thornton,L,1,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
2B,L,Brice Turang,Zac Thornton,L,2,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
DH,R,W. Contreras,Zac Thornton,L,3,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
1B,R,A. Vaughn,Zac Thornton,L,4,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
CF,L,G. Mitchell,Zac Thornton,L,5,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
C,R,Gary Sanchez,Zac Thornton,L,6,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
RF,S,Luis Lara,Zac Thornton,L,7,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
SS,R,Cooper Pratt,Zac Thornton,L,8,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
3B,R,Joey Ortiz,Zac Thornton,L,9,NYM,MIL,home,3.0,2026-07-21 16:19:18.437381
CF,S,Jake Mangum,Gerrit Cole,R,1,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
2B,L,Brandon Lowe,Gerrit Cole,R,2,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
LF,S,B. Reynolds,Gerrit Cole,R,3,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
RF,R,E. Valdez,Gerrit Cole,R,4,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
DH,L,Ryan O'Hearn,Gerrit Cole,R,5,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
3B,R,N. Gonzales,Gerrit Cole,R,6,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
SS,L,J. Gonzalez,Gerrit Cole,R,7,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
C,R,Henry Davis,Gerrit Cole,R,8,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
1B,L,T. Callihan,Gerrit Cole,R,9,PIT,NYY,away,0.0,2026-07-22 13:01:25.825258
CF,L,T. Grisham,Mitch Keller,R,1,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
1B,L,Ben Rice,Mitch Keller,R,2,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
DH,L,S. Jones,Mitch Keller,R,3,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
LF,L,C. Bellinger,Mitch Keller,R,4,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
RF,S,J. Dominguez,Mitch Keller,R,5,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
2B,L,J. Chisholm,Mitch Keller,R,6,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
SS,R,J. Caballero,Mitch Keller,R,7,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
3B,L,Ryan McMahon,Mitch Keller,R,8,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
C,L,Austin Wells,Mitch Keller,R,9,PIT,NYY,home,0.0,2026-07-22 13:01:25.825258
LF,R,Taylor Ward,Jake Bennett,L,1,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
1B,R,Pete Alonso,Jake Bennett,L,2,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
SS,L,G. Henderson,Jake Bennett,L,3,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
RF,R,T. O'Neill,Jake Bennett,L,4,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
DH,R,Coby Mayo,Jake Bennett,L,5,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
CF,S,L. Taveras,Jake Bennett,L,6,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
3B,R,C. Encarnacion-Strand,Jake Bennett,L,7,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
2B,L,J. Holliday,Jake Bennett,L,8,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
C,R,Sam Huff,Jake Bennett,L,9,BAL,BOS,away,1.0,2026-07-22 13:01:25.825258
DH,L,M. Yoshida,Dean Kremer,R,1,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
CF,R,C. Rafaela,Dean Kremer,R,2,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
RF,L,Wilyer Abreu,Dean Kremer,R,3,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
1B,R,W. Contreras,Dean Kremer,R,4,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
3B,R,Caleb Durbin,Dean Kremer,R,5,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
2B,R,R. Gonzalez,Dean Kremer,R,6,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
LF,L,Jarren Duran,Dean Kremer,R,7,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
C,R,Connor Wong,Dean Kremer,R,8,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
SS,L,T. Cheng,Dean Kremer,R,9,BAL,BOS,home,1.0,2026-07-22 13:01:25.825258
2B,L,Luis Arraez,Seth Lugo,R,1,SF,KC,away,1.0,2026-07-22 13:01:25.825258
DH,L,B. Eldridge,Seth Lugo,R,2,SF,KC,away,1.0,2026-07-22 13:01:25.825258
LF,R,Heliot Ramos,Seth Lugo,R,3,SF,KC,away,1.0,2026-07-22 13:01:25.825258
1B,L,R. Devers,Seth Lugo,R,4,SF,KC,away,1.0,2026-07-22 13:01:25.825258
3B,R,C. Schmitt,Seth Lugo,R,5,SF,KC,away,1.0,2026-07-22 13:01:25.825258
RF,L,Jung Hoo Lee,Seth Lugo,R,6,SF,KC,away,1.0,2026-07-22 13:01:25.825258
SS,R,Willy Adames,Seth Lugo,R,7,SF,KC,away,1.0,2026-07-22 13:01:25.825258
CF,L,Drew Gilbert,Seth Lugo,R,8,SF,KC,away,1.0,2026-07-22 13:01:25.825258
C,L,D. Cavanaugh,Seth Lugo,R,9,SF,KC,away,1.0,2026-07-22 13:01:25.825258
C,L,C. Jensen,Landen Roupp,R,1,SF,KC,home,1.0,2026-07-22 13:01:25.825258
CF,R,Lane Thomas,Landen Roupp,R,2,SF,KC,home,1.0,2026-07-22 13:01:25.825258
1B,L,V. Pasquantino,Landen Roupp,R,3,SF,KC,home,1.0,2026-07-22 13:01:25.825258
DH,R,S. Perez,Landen Roupp,R,4,SF,KC,home,1.0,2026-07-22 13:01:25.825258
2B,L,M. Massey,Landen Roupp,R,5,SF,KC,home,1.0,2026-07-22 13:01:25.825258
LF,S,I. Collins,Landen Roupp,R,6,SF,KC,home,1.0,2026-07-22 13:01:25.825258
RF,R,S. Marte,Landen Roupp,R,7,SF,KC,home,1.0,2026-07-22 13:01:25.825258
3B,L,Josh Rojas,Landen Roupp,R,8,SF,KC,home,1.0,2026-07-22 13:01:25.825258
SS,R,A. Velazquez,Landen Roupp,R,9,SF,KC,home,1.0,2026-07-22 13:01:25.825258
CF,L,A.J. Ewing,Logan Henderson,R,1,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
SS,S,F. Lindor,Logan Henderson,R,2,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
3B,R,Bo Bichette,Logan Henderson,R,3,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
LF,L,Carson Benge,Logan Henderson,R,4,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
DH,S,J. Polanco,Logan Henderson,R,5,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
1B,L,Jared Young,Logan Henderson,R,6,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
2B,R,M. Semien,Logan Henderson,R,7,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
RF,L,Brett Baty,Logan Henderson,R,8,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
C,R,F. Alvarez,Logan Henderson,R,9,NYM,MIL,away,1.0,2026-07-22 13:01:25.825258
DH,L,C. Yelich,Christian Scott,R,1,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
LF,R,J. Chourio,Christian Scott,R,2,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
2B,L,Brice Turang,Christian Scott,R,3,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
C,R,W. Contreras,Christian Scott,R,4,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
CF,L,G. Mitchell,Christian Scott,R,5,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
1B,R,A. Vaughn,Christian Scott,R,6,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
RF,L,Jake Bauers,Christian Scott,R,7,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
SS,R,Cooper Pratt,Christian Scott,R,8,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
3B,R,Joey Ortiz,Christian Scott,R,9,NYM,MIL,home,1.0,2026-07-22 13:01:25.825258
DH,L,James Wood,Gabriel Hughes,R,1,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
1B,L,Luis Garcia,Gabriel Hughes,R,2,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
3B,R,Curtis Mead,Gabriel Hughes,R,3,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
SS,L,CJ Abrams,Gabriel Hughes,R,4,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
C,S,Keibert Ruiz,Gabriel Hughes,R,5,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
LF,L,Daylen Lile,Gabriel Hughes,R,6,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
RF,R,Dylan Crews,Gabriel Hughes,R,7,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
CF,R,Jacob Young,Gabriel Hughes,R,8,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
2B,S,Nasim Nunez,Gabriel Hughes,R,9,WSH,COL,away,2.0,2026-07-22 13:01:25.825258
RF,L,J. McCarthy,Cade Cavalli,R,1,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
LF,L,M. Moniak,Cade Cavalli,R,2,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
DH,R,H. Goodman,Cade Cavalli,R,3,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
1B,L,TJ Rumfield,Cade Cavalli,R,4,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
CF,S,Cole Carrigg,Cade Cavalli,R,5,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
3B,R,Kyle Karros,Cade Cavalli,R,6,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
SS,S,Willi Castro,Cade Cavalli,R,7,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
2B,L,E. Julien,Cade Cavalli,R,8,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
C,L,B. Sullivan,Cade Cavalli,R,9,WSH,COL,home,2.0,2026-07-22 13:01:25.825258
SS,S,E. De La Cruz,Emerson Hancock,R,1,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
3B,R,Sal Stewart,Emerson Hancock,R,2,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
LF,L,JJ Bleday,Emerson Hancock,R,3,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
1B,R,S. Steer,Emerson Hancock,R,4,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
DH,R,E. Suarez,Emerson Hancock,R,5,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
C,R,T. Stephenson,Emerson Hancock,R,6,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
RF,R,Noelvi Marte,Emerson Hancock,R,7,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
2B,S,Edwin Arroyo,Emerson Hancock,R,8,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
CF,L,TJ Friedl,Emerson Hancock,R,9,CIN,SEA,away,3.0,2026-07-22 13:01:25.825258
3B,L,J. Crawford,Brady Singer,R,1,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
CF,R,J. Rodriguez,Brady Singer,R,2,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
LF,R,R. Arozarena,Brady Singer,R,3,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
C,S,Cal Raleigh,Brady Singer,R,4,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
DH,L,D. Canzone,Brady Singer,R,5,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
1B,L,Josh Naylor,Brady Singer,R,6,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
RF,L,Luke Raley,Brady Singer,R,7,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
2B,L,Cole Young,Brady Singer,R,8,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
SS,L,Colt Emerson,Brady Singer,R,9,CIN,SEA,home,3.0,2026-07-22 13:01:25.825258
SS,R,Jacob Wilson,Merrill Kelly,R,1,ATH,ARI,away,3.0,2026-07-22 13:01:25.825258
LF,L,T. Soderstrom,Merrill Kelly,R,2,ATH,ARI,away,3.0,2026-07-22 13:01:25.825258
