position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
RF,R,A. Martin,MacKenzie Gore,L,1,MIN,TEX,away,2.0,
CF,R,Byron Buxton,MacKenzie Gore,L,2,MIN,TEX,away,2.0,
1B,L,Kody Clemens,MacKenzie Gore,L,3,MIN,TEX,away,2.0,
3B,R,Royce Lewis,MacKenzie Gore,L,4,MIN,TEX,away,2.0,
DH,S,Josh Bell,MacKenzie Gore,L,5,MIN,TEX,away,2.0,
LF,R,Kyler Fedko,MacKenzie Gore,L,6,MIN,TEX,away,2.0,
DH,L,Joc Pederson,Mike Paredes,R,1,MIN,TEX,home,2.0,
3B,R,Josh Jung,Mike Paredes,R,2,MIN,TEX,home,2.0,
LF,R,W. Langford,Mike Paredes,R,3,MIN,TEX,home,2.0,
RF,L,B. Nimmo,Mike Paredes,R,4,MIN,TEX,home,2.0,
1B,R,Jake Burger,Mike Paredes,R,5,MIN,TEX,home,2.0,
CF,L,A. Osuna,Mike Paredes,R,6,MIN,TEX,home,2.0,
2B,R,Cody Freeman,Mike Paredes,R,7,MIN,TEX,home,2.0,
SS,L,Nicky Lopez,Mike Paredes,R,8,MIN,TEX,home,2.0,
C,R,Elias Diaz,Mike Paredes,R,9,MIN,TEX,home,2.0,
2B,S,Willi Castro,Shota Imanaga,L,1,COL,CHC,away,2.0,
RF,R,T. Freeman,Shota Imanaga,L,2,COL,CHC,away,2.0,
1B,L,TJ Rumfield,Shota Imanaga,L,3,COL,CHC,away,2.0,
DH,R,H. Goodman,Shota Imanaga,L,4,COL,CHC,away,2.0,
SS,R,E. Tovar,Shota Imanaga,L,5,COL,CHC,away,2.0,
CF,S,Cole Carrigg,Shota Imanaga,L,6,COL,CHC,away,2.0,
LF,L,J. McCarthy,Shota Imanaga,L,7,COL,CHC,away,2.0,
3B,R,Kyle Karros,Shota Imanaga,L,8,COL,CHC,away,2.0,
C,R,B. Fulford,Shota Imanaga,L,9,COL,CHC,away,2.0,
CF,L,P. Crow-Armstrong,Michael Lorenzen,R,1,COL,CHC,home,2.0,
3B,R,Alex Bregman,Michael Lorenzen,R,2,COL,CHC,home,2.0,
1B,L,M. Busch,Michael Lorenzen,R,3,COL,CHC,home,2.0,
DH,R,Seiya Suzuki,Michael Lorenzen,R,4,COL,CHC,home,2.0,
LF,S,Ian Happ,Michael Lorenzen,R,5,COL,CHC,home,2.0,
2B,R,Nico Hoerner,Michael Lorenzen,R,6,COL,CHC,home,2.0,
C,L,M. Ballesteros,Michael Lorenzen,R,7,COL,CHC,home,2.0,
RF,R,Matt Shaw,Michael Lorenzen,R,8,COL,CHC,home,2.0,
SS,R,D. Swanson,Michael Lorenzen,R,9,COL,CHC,home,2.0,
SS,L,K. McGonigle,Kai-Wei Teng,R,1,DET,HOU,away,2.0,
2B,R,G. Torres,Kai-Wei Teng,R,2,DET,HOU,away,2.0,
DH,L,K. Carpenter,Kai-Wei Teng,R,3,DET,HOU,away,2.0,
LF,L,Riley Greene,Kai-Wei Teng,R,4,DET,HOU,away,2.0,
C,R,D. Dingler,Kai-Wei Teng,R,5,DET,HOU,away,2.0,
3B,L,Colt Keith,Kai-Wei Teng,R,6,DET,HOU,away,2.0,
1B,R,S. Torkelson,Kai-Wei Teng,R,7,DET,HOU,away,2.0,
RF,L,Z. McKinstry,Kai-Wei Teng,R,8,DET,HOU,away,2.0,
CF,L,James Outman,Kai-Wei Teng,R,9,DET,HOU,away,2.0,
SS,R,Jeremy Pena,Enmanuel De Jesus,L,1,DET,HOU,home,2.0,
